County,Population,Mean Income,IRR,TotalRevenue,dac_proportion,ces_score_median,ces_percentile_median,median_household_income_usd,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,Budget,Total Claims,Total Programs,% OBF Budget,% Resource Budget
ALAMEDA,1656754,76626,0.270123418,9617053146,0.10555555555555557,21.5329058048428,42.09862529953335,99406,13132657.581304485,-55166.943648375905,137563849.40757087,-572536.1289518703,8383463.777426047,24202.0,7.0,21.65155299741715,100.0
ALPINE,1039,78945,0.656044503,60490797,0.0,11.343356773265901,15.853197124479802,63750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMADOR,38429,51453,0.502563215,243032260,0.0,23.257549086885295,45.756085256652796,62772,630359.832892,-4445.044560870999,6969586.500764597,-47535.94127237098,548418.429694562,129.0,2.0,0.0,100.0
BUTTE,225817,62405,0.4345549070000001,1290504922,0.0392156862745098,20.0332612273792,38.3654937570942,52537,1786076.0955999913,-2434.795903434,20324135.270880062,-26140.758805219,1665997.938864568,5011.0,5.0,16.661132141427927,100.0
CALAVERAS,45514,70651,0.509595041,677652486,0.0,15.1808524828282,25.5517719762896,63158,57305.678626,-407.88066,617826.3064944,-4790.258736,43309.63034160058,18.0,2.0,3.253733656943102,100.0
COLUSA,21454,51788,0.543578676,183757138,0.0,27.4689006062817,54.748391978811995,59401,195729.84486,-478.13480703,1949328.0928800001,-5486.333745099999,115067.84222652904,11.0,2.0,18.890024525320243,100.0
CONTRA COSTA,1142251,54605,0.27489732899999997,9994087813,0.12077294685990338,17.213198028522,30.8613948795561,99716,9487053.041387586,-32214.49389695605,92437495.81564124,-351174.8131304474,5802187.979892172,13946.0,3.0,31.130505984396024,100.0
DEL NORTE,27495,62144,0.530593072,225894688,0.0,16.8448507855909,29.9785597174927,45283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL DORADO,188563,58390,0.452632459,1101313736,0.0,10.546223119934599,14.390213141632,83377,431429.29563999997,-1637.9646863599999,4892398.341180002,-17995.960401759992,314253.95364851324,100.0,2.0,2.2150462644671456,100.0
FRESNO,984521,63368,0.40764215299999995,5391143000,0.5979899497487438,44.3555789357592,82.10367007188799,53969,9599599.948526984,-12955.089135913999,99700299.10742228,-143668.49814332605,4611106.029345577,13840.0,5.0,9.256733845630487,100.0
GLENN,27976,63764,0.534306275,251081405,0.0,23.671257960564052,46.7776516584689,49633,138160.95156000002,-127.17089998200001,1605441.4153199997,-1224.06119996,75556.00667944268,14.0,2.0,17.485552165784448,100.0
HUMBOLDT,135940,62536,0.5087122279999999,1063422798,0.0,15.2839121025598,25.79770462857865,48041,3354852.5048648026,-25700.917343779005,29424490.54946835,-169712.31324025223,3047453.1739461757,4020.0,3.0,3.7567072894725793,100.0
IMPERIAL,180701,65273,0.48367610299999997,1305614242,0.4838709677419355,39.5838218556389,75.38781687476356,47622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INYO,17977,55353,0.614476007,240392588,0.0,18.79896763775485,35.244040862656114,57316,4205.905568,-30.413515983999996,58325.54956800001,-421.760689872,59918.969655676025,6.0,1.0,68.74180269903589,100.0
KERN,887641,65073,0.421116981,5607641820,0.4503311258278146,36.3577239312472,70.5385294488586,53350,17486642.537269928,-59555.63902103302,178144350.60541782,-612942.0193578089,7076841.40305379,19365.0,2.0,7.119472994924441,100.0
